cleaning_schema_version,cleaning_schema_sha256,session_id,trial_id,layout,primary_role,raw_csv_relative_path,raw_csv_sha256,raw_rows,sequence_model_eligible_rows,background_rows,mint_rows,lavender_rows,overlap_rows,unknown_or_outside_rows,isolated_spike_rows,baseline_S1_kohm,baseline_S2_kohm,baseline_S3_kohm,baseline_S4_kohm,baseline_S5_kohm,baseline_S6_kohm,baseline_S7_kohm,baseline_S8_kohm,baseline_S9_kohm,baseline_S10_kohm,baseline_S11_kohm,baseline_S12_kohm,baseline_S13_kohm,baseline_S14_kohm,baseline_S15_kohm,baseline_S16_kohm,baseline_S17_kohm,baseline_S18_kohm,baseline_S19_kohm,baseline_S20_kohm,baseline_S21_kohm,baseline_S22_kohm,baseline_S23_kohm,baseline_S24_kohm,baseline_S25_kohm,baseline_S26_kohm,baseline_S27_kohm,baseline_S28_kohm,baseline_S29_kohm,baseline_S30_kohm,baseline_S31_kohm,baseline_S32_kohm
long-sequence-cleaning-v1,3fc5195d5643344031426aef323c622b51f0460cc11ca49a2d06d1ad5f8bf808,20260730_152754,2026-07-30_mint_only_horizontal_random_10min_run01,mint horizontal,train,experiments/long-sequence/2026-07-30_batch-01/runs/cyranose_reading_pose_session_20260730_152754/cyranose_reading_pose.csv,52feba7ed449773a037115bfbddfb77ac81552b10c686325d80dd5763f8899a3,706,547,460,102,0,0,144,0,2.93102098,3.048254,2.20744651,1.34888399,1.10082895,0.48229911,2.20771731,1.19036681,1.04788645,1.50050272,2.2073381,0.888628455,1.00800581,0.95796625,2.20631601,0.638988665,1.97962314,0.97635844,2.20714129,1.00341338,0.76569688,0.81038948,2.20752835,1.17563989,1.81707296,1.36362221,2.20750231,1.14322673,1.06061326,0.80769475,2.20762599,0.710212945
long-sequence-cleaning-v1,3fc5195d5643344031426aef323c622b51f0460cc11ca49a2d06d1ad5f8bf808,20260730_153631,2026-07-30_caret_mint_left_lavender_right_random_10min_run01,caret mint-left lavender-right,train,experiments/long-sequence/2026-07-30_batch-01/runs/cyranose_reading_pose_session_20260730_153631/cyranose_reading_pose.csv,8099e6a53dc3dd54bfab489a7ac042306f700f1e46fb687a09d9fccfd2449194,737,578,450,138,92,5,52,0,2.92645507,3.043989,2.20726732,1.34603666,1.10106253,0.4820531,2.2065551,1.19082841,1.04646708,1.50038538,2.20735678,0.888374565,1.00778812,0.95767287,2.20770652,0.63880567,1.9788696,0.9762752,2.20595031,1.00286776,0.76550441,0.81013288,2.207351,1.17449858,1.81761649,1.36155956,2.20729653,1.14300931,1.06016355,0.807973045,2.20741389,0.70997607
long-sequence-cleaning-v1,3fc5195d5643344031426aef323c622b51f0460cc11ca49a2d06d1ad5f8bf808,20260730_154848,2026-07-30_caret_lavender_left_mint_right_random_10min_run01,caret lavender-left mint-right,train,experiments/long-sequence/2026-07-30_batch-01/runs/cyranose_reading_pose_session_20260730_154848/cyranose_reading_pose.csv,2c031b9433256ff871f3e2ccd5b96fc284ca12914ff038e5f2dc7fb76e4612b2,759,541,424,73,188,0,74,0,2.92272243,3.04108854,2.20735494,1.3445324,1.10224168,0.4816937,2.20752704,1.1918609,1.04552767,1.50039615,2.20719864,0.88831994,1.00811195,0.95779858,2.20748283,0.63898801,1.97885801,0.97669734,2.20757546,1.00285106,0.76571384,0.81001173,2.20727389,1.17382044,1.81957594,1.36070432,2.20738494,1.14465266,1.06070212,0.80874397,2.20729495,0.71020961
long-sequence-cleaning-v1,3fc5195d5643344031426aef323c622b51f0460cc11ca49a2d06d1ad5f8bf808,20260730_161358,2026-07-30_lavender_only_horizontal_random_10min_run01,lavender horizontal,train,experiments/long-sequence/2026-07-30_batch-01/runs/cyranose_reading_pose_session_20260730_161358/cyranose_reading_pose.csv,c7319c4ec154bf0db859cdbdd85c4f35d191750744d1586f2cf9b474949e69e7,829,681,614,0,130,0,85,0,2.9219463,3.04047395,2.20599769,1.34403904,1.10171744,0.48095937,2.2061129,1.1912115,1.04499137,1.5003657,2.20604001,0.88807568,1.00798026,0.95779019,2.20721759,0.63900104,1.97897254,0.976536985,2.207396,1.00256572,0.765701305,0.809930435,2.20730731,1.17351767,1.8199123,1.35987149,2.20706946,1.14372446,1.06034152,0.80903918,2.20706815,0.709919845
long-sequence-cleaning-v1,3fc5195d5643344031426aef323c622b51f0460cc11ca49a2d06d1ad5f8bf808,20260730_163355,2026-07-30_inverted_caret_lavender_left_mint_right_random_10min_run01,inverted caret lavender-left mint-right,train,experiments/long-sequence/2026-07-30_batch-01/runs/cyranose_reading_pose_session_20260730_163355/cyranose_reading_pose.csv,9f74b3834daa845ad6bd07a710d5dfc681c2fecdd9278ecc43f2b55aa531a5ea,1114,883,620,171,170,3,150,0,2.92007351,3.03872024,2.20731704,1.34300286,1.10189242,0.480449925,2.20770601,1.19131666,1.04401368,1.50038928,2.20734154,0.887832365,1.00794702,0.95767138,2.20635041,0.63900629,1.97857834,0.976478795,2.20707077,1.00236477,0.765738315,0.80979454,2.20743468,1.17289208,1.82012562,1.3588094,2.20741415,1.14359964,1.0605622,0.809293995,2.20731994,0.70977878
long-sequence-cleaning-v1,3fc5195d5643344031426aef323c622b51f0460cc11ca49a2d06d1ad5f8bf808,20260803_144217,2026-08-03_x_mint_backslash_lavender_slash_random_10min_run01,X mint-backslash lavender-slash 01,train,experiments/long-sequence/2026-08-03_batch-01/runs/cyranose_reading_pose_session_20260803_144217/cyranose_reading_pose.csv,537d0425713386e6a8841f489437927c28eee138a999db6129053519b650dd01,1118,524,647,145,186,22,118,0,2.92646326,3.04695902,2.20736441,1.3465454,1.09980887,0.48126759,2.20742915,1.18981743,1.04514354,1.502935,2.20523139,0.88807503,1.0074624,0.95734206,2.20739809,0.63881858,1.97833326,0.97593009,2.20733494,1.00264728,0.76560924,0.81039945,2.20776389,1.17449441,1.81582111,1.36347635,2.20753283,1.14379999,1.05961997,0.80803532,2.20562943,0.71010727
long-sequence-cleaning-v1,3fc5195d5643344031426aef323c622b51f0460cc11ca49a2d06d1ad5f8bf808,20260803_150952,2026-08-03_x_mint_backslash_lavender_slash_random_10min_run02,X mint-backslash lavender-slash 02,train,experiments/long-sequence/2026-08-03_batch-01/runs/cyranose_reading_pose_session_20260803_150952/cyranose_reading_pose.csv,bfad121124ddb10e00801215c45b01f707843c87f5b8e5173568414cb7c14f70,1134,810,725,149,166,33,61,0,2.92128472,3.04240853,2.20594173,1.34372208,1.10206045,0.48082052,2.20714735,1.19194018,1.04332772,1.50290656,2.20614685,0.88793978,1.0080329,0.95761631,2.20546984,0.639092985,1.98027418,0.97711726,2.20714154,1.00281764,0.766049535,0.81010508,2.20726626,1.17292789,1.8203083,1.36196884,2.20736679,1.1477412,1.06174472,0.8098623,2.20730626,0.710623775
long-sequence-cleaning-v1,3fc5195d5643344031426aef323c622b51f0460cc11ca49a2d06d1ad5f8bf808,20260803_154420,2026-08-03_x_lavender_backslash_mint_slash_rotated90_random_10min_run03,X lavender-backslash mint-slash 03,train,experiments/long-sequence/2026-08-03_batch-01/runs/cyranose_reading_pose_session_20260803_154420/cyranose_reading_pose.csv,4b7216330a9822c69cbff85fcc025fbc065b9d5127bcd6344a17314a2ae1af1c,1181,889,721,181,156,48,75,1,2.91546539,3.03732153,2.20729836,1.34123296,1.10256128,0.480210305,2.20759441,1.19220442,1.04179738,1.50296641,2.20746335,0.887490885,1.00788153,0.95739645,2.20735599,0.639084335,1.97980068,0.97723959,2.2074852,1.00228615,0.76611881,0.80985947,2.20740285,1.17175293,1.82137489,1.35990294,2.2067306,1.14893787,1.06184634,0.8105584,2.20733784,0.71047562
long-sequence-cleaning-v1,3fc5195d5643344031426aef323c622b51f0460cc11ca49a2d06d1ad5f8bf808,20260803_160842,2026-08-03_x_lavender_backslash_mint_slash_rotated90_random_10min_run04,X lavender-backslash mint-slash 04,train,experiments/long-sequence/2026-08-03_batch-01/runs/cyranose_reading_pose_session_20260803_160842/cyranose_reading_pose.csv,282477431cb6f4c78e6b3a0af85ecb9b0fdcac63cc3e62598f09571456997e75,1163,832,735,163,163,34,68,0,2.91088923,3.03373159,2.20743572,1.33975723,1.10368092,0.479884185,2.20753836,1.19337973,1.04026791,1.5030246,2.20722417,0.88736293,1.00804171,0.957193255,2.20724469,0.639061565,1.97975665,0.977576755,2.20740283,1.00228127,0.76618821,0.80973588,2.20764888,1.17082817,1.82173501,1.35845545,2.20730021,1.15086317,1.06261813,0.811158075,2.20752835,0.71058984
long-sequence-cleaning-v1,3fc5195d5643344031426aef323c622b51f0460cc11ca49a2d06d1ad5f8bf808,20260803_164023,2026-08-03_inverted_caret_lavender_left_mint_right_random_10min_run01,inverted caret lavender-left mint-right,train,experiments/long-sequence/2026-08-03_batch-01/runs/cyranose_reading_pose_session_20260803_164023/cyranose_reading_pose.csv,95793e53398373cad37ecec87694399a50205d7c6660871fa078c3ca3d7e2bac,1205,1034,858,130,160,0,57,0,2.91333114,3.03627651,2.20737309,1.34155033,1.10398525,0.479237435,2.20781654,1.19333536,1.0404611,1.50310846,2.20767573,0.88759931,1.00826488,0.957355725,2.20775311,0.63918198,1.98046432,0.97768185,2.20754072,1.00261318,0.76639367,0.810022305,2.20760783,1.17123992,1.82169336,1.35905862,2.20730652,1.15087703,1.06310318,0.81126122,2.2074552,0.71059904
